id,brand_id,product_name,slug,description,how_to,information,thumbnail_image,thumbnail_alt_text,price_bc,is_new_product,is_pinned,is_best_seller,is_active,created_date,modified_date,like_count,price,price_str,url,image,barcode,skin_type,product,price_range
118,2,Nature Daily Aloe Hydramild Facial Wash,wardah-nature-daily-aloe-hydramild-facial-wash,"<p>Pembersih wajah yang membersihkan kulit secara lembut merata dengan busa dan wangi yang ringan. Kini diformulasikan dengan Advanced Dermaclear+ Formula, Triple Hydrating Complex, Hydramild Aloe Vera Extract agar kulit wajah bersih, segar dan tetap terasa lembab.</p>","<p>1. Tuang produk seukuran kacang dan busakan dengan air</p>
<p>2. Usapkan pada muka dan leher secara merata dengan gerakan melingkar yang lembut</p>
<p>3. Bilas bersih dengan air.</p>",<p>Tersedia dalam 60 ml &amp; 100 ml</p>,thumbnail-1571218520.png,Nature Daily Aloe Hydramild Facial Wash,21000,0,0,0,1,2019-10-16 16:35:20,2019-10-16 09:35:20,62,118000,118.000,https://www.wardahbeauty.com/id/product/skincare/wardah-nature-daily-aloe-hydramild-facial-wash?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1571218520.png,8993137695169,Dry,facial-wash,0-49999
82,2,Lightening Day Cream Advanced Niacinamide,wardah-lightening-day-cream-advanced-niacinamide,"<p class=""p1"">Wardah Lightening Day Cream, krim pelembab pagi hari dengan tekstur ringan yang melembabkan dan mencerahkan kulit wajah. Mengandung Advanced Niacinamide yang bantu mencerahkan kulit sekaligus memberikan perlindungan ekstra terhadap blue light. Dilengkapi dengan SPF 30 PA+++ untuk melindungi kulit dari sinar UA A dan UV B. Cocok untuk kulit normal cenderung kering.</p>","<p class=""p1""><span class=""s1"">Dioleskan tipis merata pada wajah &amp; leher yang telah dibersihkan</span></p>","<ul>
<li><strong>Advanced Niacinamide</strong>: Memiliki kemampuan untuk melindungi kulit dari efek negatif blue light, dan membantu kulit menjadi cerah bercahaya serta menjaga kelembaban kulit.</li>
<li><strong>SPF 30 PA +++</strong>: Melindungi kulit dari paparan sinar UVA &amp; UVB sehingga kulit dapat tetap cerah.</li>
</ul>",thumbnail-1645421258.png,Lightening Day Cream Advanced Niacinamide,32000,0,0,0,1,2019-10-15 21:19:50,2019-10-15 14:19:50,142,82000,82.000,https://www.wardahbeauty.com/id/product/skincare/wardah-lightening-day-cream-advanced-niacinamide?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645421258.png,8993137688628,Dry,moisturizer,0-49999
66,2,Renew You Day Cream,renew-you-day-cream,"<p class=""p1"">Pelembab dengan tekstur krim yang ringan yang dilengkapi dengan SPF 35 PA+++ untuk melindungi kulit dari paparan berlebih sinar UVA/UVB penyebab tanda-tanda premature aging seperti munculnya flek hitam dan garis halus. Mengandung Niacinamide yang mencerahkan dan meratakan warna kulit. Diformulasikan dengan kombinasi Peptide MatrixylTM dan Bakuchiol yang menghaluskan tekstur kulit dan terbukti secara klinis mampu menjaga elastisitas dan kekencangan kulit dalam 4 minggu pemakaian*.</p>","<p class=""p1"">Oleskan merata pada wajah dan leher yang telah dibersihkan, setelah menggunakan serum. Gunakan pada pagi hari.</p>","<p><strong>Ingredients:</strong></p>
<p>Bakuchiol, SPF 35 PA+++, Niacinamide, Peptide Matrixyl&trade;, Instant Blurring Formula</p>
<p><strong>Other Ingredients:</strong></p>
<p>Aqua, Ethylhexyl Methoxycinnamate, Biosaccharide Gum-1, Propylene Glycol, 4-Methylbenzylidene Camphor, Cetyl Alcohol, Glycerin, Glyceryl Stearate, Polyacrylamide, Butyl Methoxydibenzoylmethane, Dimethicone, Phenoxyethanol, Cyclopentasiloxane, Stearic Acid, PEG-100 Stearate, Butylene Glycol, C13-14 Isoparaffin, Hydrolized Wheat Protein/PVP Crosspolymer, Fragrance, Laureth-7, Dimethicone Crosspolymer, Ethylhexylglycerin, Allantoin, Resveratrol, Tocopheryl Acetate, Disodium EDTA, Sodium Hyaluronate, Carbomer, Dimethicone/Vinyl Dimethicone Crosspolymer, Polysorbate 20, Potassium Sorbate, EDTA, Dimethiconol, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7</p>",thumbnail-1658216857.png,Renew You Day Cream,111000,1,1,1,1,2019-10-15 20:52:22,2019-10-15 13:52:22,56,66000,66.000,https://www.wardahbeauty.com/id/product/skincare/renew-you-day-cream?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1658216857.png,8993137691086,Dry,moisturizer,50000-200000
279,2,UV Shield Active Protection Serum SPF 50 PA++++,wardah-uv-shield-active-protection-serum-spf-50-pa,"<p>Wardah UV Shield Active Protection Serum SPF 50 PA++++, sunscreen dengan Broad Spectrum Protection, 50x lebih optimal* menjaga kulit dari sinar UV A / UV B serta pancaran blue light berlebih. Dengan inovasi formula 0% alkohol namun tetap ringan dan tidak lengket, serta Waterproof Active di dalamnya yang menjadikan sunscreen tidak mudah luntur meski terkena air dan keringat. Sangat cocok digunakan untuk aktivitas dinamis di bawah paparan sinar matahari, seperti olahraga lari, berenang, berjemur di pantai, dll.</p>","<p>1. Ambil Wardah UV Shield Active Protection Serum SPF 50 secukupnya</p>
<p>2. Oles tipis di area wajah dan leher secara merata</p>
<p>3. Gunakan setiap hari sesudah menggunakan day cream</p>
<p>4. Bisa digunakan untuk area kulit lainnya yang terpapar sinar matahari</p>
<p>5. Cocok untuk kamu yang memiliki aktivitas&nbsp;dinamis yang memungkinkan terkena air atau banyak berkeringat</p>","<ul>
<li>0% Alcohol</li>
<li>Broad Spectrum Protection</li>
<li>Waterproof Active Formula</li>
<li>Bisabolol</li>
</ul>
<p>Ingredients:</p>
<p>Aqua, Dibutyl Adipate, C12-15 Alkyl Benzoate, Propylheptyl Caprylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Tris-Biphenyl Triazine, Sucrose Polystearate, Ethylhexyl Triazone, Ethylhexyl Salicylate, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Glycerin, Polyester-7, Polymethyl Methacrylate, Neopentyl Glycol Diheptanoate, Undecane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cetearyl Alcohol, Decyl Glucoside, Disodium, Cetearyl Sulfosuccinate, Cetyl Palmitate, Tridecane, Bisabolol, Phenoxyethanol, Chlorphenesin, Xanthan Gum, Propanediol, Disodium EDTA, Fragrance, Butylene Glycol, Disodium Phosphate, Propylene Glycol, Artemisia Capillaris Flower Extract.</p>",thumbnail-1648122826.png,UV Shield Active Protection Serum SPF 50 PA++++,79000,0,0,0,1,2021-03-23 15:06:08,2021-03-23 08:06:08,59,279000,279.000,https://www.wardahbeauty.com/id/product/skincare/wardah-uv-shield-active-protection-serum-spf-50-pa?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648122826.png,8993137708302,Dry,moisturizer,50000-200000
192,2,Nature Daily Mineral+ Facial Foam,wardah-nature-daily-mineral--facial-foam,"<p>Mengandung CarboActiv dan Clarifying Mineral+ yang bersihkan debu, polusi, dan minyak berlebih secara tuntas, yang sesuai dengan kegiatan outdoormu yang terpapar sinar matahari dan poulsi udara&nbsp;</p>","<p>1. Tuangkan produk pada wajah</p>
<p>2. Oleskan pada wajah</p>
<p>3. Pijat lembut</p>
<p>4. Bilas dengan air</p>",<p>Tersedia dalam 60 ml &amp; 100 ml</p>,thumbnail-1573551343.png,Nature Daily Mineral+ Facial Foam,21000,0,0,0,1,2019-11-12 16:35:43,2019-11-12 09:35:43,39,192000,192.000,https://www.wardahbeauty.com/id/product/skincare/wardah-nature-daily-mineral--facial-foam?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1573551343.png,8993137695183,Oily,facial-wash,0-49999
117,2,Nature Daily Witch Hazel Purifying Moisturizer Gel,wardah-nature-daily-witch-hazel-purifying-moisturizer-gel,"<p>Gel pelembab bertekstur ringan untuk menjaga keseimbangan dan kelembaban kulit normal-berminyak. Mengandung Chamomile extract, Pro-vitamin B5 dan Vitamin E yang baik merawat keseharian kulit.</p>",<p>Oleskankan tipis secara merata pada kulit wajah dan leher yang telah dibersihkan</p>,<p>100 ml</p>,thumbnail-1571218328.png,Nature Daily Witch Hazel Purifying Moisturizer Gel,27500,0,0,0,1,2019-10-16 16:32:08,2019-10-16 09:32:08,145,117000,117.000,https://www.wardahbeauty.com/id/product/skincare/wardah-nature-daily-witch-hazel-purifying-moisturizer-gel?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1571218328.png,8993137695114,Oily,moisturizer,0-49999
109,2,Nature Daily Seaweed balancing Facial Scrub,wardah-nature-daily-seaweed-balancing-facial-scrub,<p>Pembersih wajah Non Soap Formula yang mengandung scrub lembut dan formula pH balance sehingga tidak mengiritasi / membuat kulit wajah perih dan nyaman dikulit. Scrub yang lembut membantu mengangkat kotoran dan komedo yang menyumbat pori-pori kulit.&nbsp;&nbsp;</p>,"<p>1. Tuang produk seukuran kacang dan busakan dengan air</p>
<p>2. Usapkan pada muka dan leher secara merata dengan gerakan melingkar yang lembut</p>
<p>3. Bilas bersih dengan air</p>
<p>4. Gunakan setiap dua hari sekali untuk mendapatkan hasil optimal</p>",<p>60 ml</p>,thumbnail-1571216923.png,Nature Daily Seaweed balancing Facial Scrub,17500,0,0,0,1,2019-10-16 16:08:43,2019-10-16 09:08:43,68,109000,109.000,https://www.wardahbeauty.com/id/product/skincare/wardah-nature-daily-seaweed-balancing-facial-scrub?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1571216923.png,8993137695039,Oily,face-scrub,0-49999
368,2,Crystal Secret Foaming Cleanser with Natural AHA+PHA,crystal-secret-foaming-cleanser-with-natural-ahapha,"<p>Foaming Cleanser dengan kandungan Natural AHA + PHA dan Moistbeads yang sustainable, bantu mengangkat sel kulit mati, minyak, kotoran, dan sisa make-up dengan lembut. Cocok untuk semua jenis kulit. Mengandung&nbsp;Edelweiss Extract yang dapat menyempurnakan kecerahan kulit di tiap lapisan.</p>","<p>Ambil secukupnya, basahi dengan air dan ratakan ke wajah secara perlahan.</p>
<p>Gunakan pagi dan sore</p>","<ul>
<li><strong>Edelweiss Extract</strong>&nbsp;: Membuat kulit terasa bersih, lembab, dan tampak cerah.</li>
<li><strong>Natural AHA&nbsp;</strong>: Mengangkat sel kulit mati dan meningkatkan kehalusan&nbsp;tekstur kulit</li>
<li><strong>PHA</strong>&nbsp;: Secara lembut mengangkat sel kulit mati dan meningkatkan kelembapan kulit</li>
<li><strong>Sustainable Moistbeads</strong>&nbsp;: Melepaskan kelembapan ke kulit</li>
</ul>",thumbnail-1645418849.png,Crystal Secret Foaming Cleanser with Natural AHA+PHA,39500,0,0,0,1,2021-10-09 17:46:30,2021-10-09 10:46:30,55,368000,368.000,https://www.wardahbeauty.com/id/product/skincare/crystal-secret-foaming-cleanser-with-natural-ahapha?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1645418849.png,8993137692335,Oily,cleanser,0-49999
279,2,UV Shield Active Protection Serum SPF 50 PA++++,wardah-uv-shield-active-protection-serum-spf-50-pa,"<p>Wardah UV Shield Active Protection Serum SPF 50 PA++++, sunscreen dengan Broad Spectrum Protection, 50x lebih optimal* menjaga kulit dari sinar UV A / UV B serta pancaran blue light berlebih. Dengan inovasi formula 0% alkohol namun tetap ringan dan tidak lengket, serta Waterproof Active di dalamnya yang menjadikan sunscreen tidak mudah luntur meski terkena air dan keringat. Sangat cocok digunakan untuk aktivitas dinamis di bawah paparan sinar matahari, seperti olahraga lari, berenang, berjemur di pantai, dll.</p>","<p>1. Ambil Wardah UV Shield Active Protection Serum SPF 50 secukupnya</p>
<p>2. Oles tipis di area wajah dan leher secara merata</p>
<p>3. Gunakan setiap hari sesudah menggunakan day cream</p>
<p>4. Bisa digunakan untuk area kulit lainnya yang terpapar sinar matahari</p>
<p>5. Cocok untuk kamu yang memiliki aktivitas&nbsp;dinamis yang memungkinkan terkena air atau banyak berkeringat</p>","<ul>
<li>0% Alcohol</li>
<li>Broad Spectrum Protection</li>
<li>Waterproof Active Formula</li>
<li>Bisabolol</li>
</ul>
<p>Ingredients:</p>
<p>Aqua, Dibutyl Adipate, C12-15 Alkyl Benzoate, Propylheptyl Caprylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Tris-Biphenyl Triazine, Sucrose Polystearate, Ethylhexyl Triazone, Ethylhexyl Salicylate, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Glycerin, Polyester-7, Polymethyl Methacrylate, Neopentyl Glycol Diheptanoate, Undecane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cetearyl Alcohol, Decyl Glucoside, Disodium, Cetearyl Sulfosuccinate, Cetyl Palmitate, Tridecane, Bisabolol, Phenoxyethanol, Chlorphenesin, Xanthan Gum, Propanediol, Disodium EDTA, Fragrance, Butylene Glycol, Disodium Phosphate, Propylene Glycol, Artemisia Capillaris Flower Extract.</p>",thumbnail-1648122826.png,UV Shield Active Protection Serum SPF 50 PA++++,79000,0,0,0,1,2021-03-23 15:06:08,2021-03-23 08:06:08,59,279000,279.000,https://www.wardahbeauty.com/id/product/skincare/wardah-uv-shield-active-protection-serum-spf-50-pa?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648122826.png,8993137708302,Normal,moisturizer,50000-200000
109,2,Nature Daily Seaweed balancing Facial Scrub,wardah-nature-daily-seaweed-balancing-facial-scrub,<p>Pembersih wajah Non Soap Formula yang mengandung scrub lembut dan formula pH balance sehingga tidak mengiritasi / membuat kulit wajah perih dan nyaman dikulit. Scrub yang lembut membantu mengangkat kotoran dan komedo yang menyumbat pori-pori kulit.&nbsp;&nbsp;</p>,"<p>1. Tuang produk seukuran kacang dan busakan dengan air</p>
<p>2. Usapkan pada muka dan leher secara merata dengan gerakan melingkar yang lembut</p>
<p>3. Bilas bersih dengan air</p>
<p>4. Gunakan setiap dua hari sekali untuk mendapatkan hasil optimal</p>",<p>60 ml</p>,thumbnail-1571216923.png,Nature Daily Seaweed balancing Facial Scrub,17500,0,0,0,1,2019-10-16 16:08:43,2019-10-16 09:08:43,68,109000,109.000,https://www.wardahbeauty.com/id/product/skincare/wardah-nature-daily-seaweed-balancing-facial-scrub?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1571216923.png,8993137695039,Normal,face-scrub,0-49999
79,2,Lightening Facial Scrub,wardah-lightening-facial-scrub,"<p class=""p1"" style=""text-align: left;""><span class=""s1"">Wardah Lightening Facial Scrub, scrub wajah dengan formula pH balance sehingga nyaman untuk kulit. Butiran scrub lembut membantu mengangkat sel kulit mati. Mengandung Licorice Extract membuat kulit tampak lebih cerah dan&nbsp;</span>Vitamin B3&nbsp;yang melembabkan serta menjaga kekenyalan kulit.</p>","<p class=""p1""><span class=""s1"">1. Tuang secukupnya pada telapak tangan</span></p>
<p class=""p1""><span class=""s1"">2. Busakan dan usapkan lembut keseluruh wajah &amp; leher</span></p>
<p class=""p1""><span class=""s1"">3. Bilas sampai bersih</span></p>",<p>60 ml</p>,thumbnail-1648653842.png,Lightening Facial Scrub,18000,0,0,0,1,2019-10-15 21:12:16,2019-10-15 14:12:16,83,79000,79.000,https://www.wardahbeauty.com/id/product/skincare/wardah-lightening-facial-scrub?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648653842.png,8993137572231,Normal,face-scrub,0-49999
54,2,Perfect Bright Creamy Foam Bright + Oil Control,perfect-bright-creamy-foam-bright-oil-control,"<p class=""p1"">Kulit kusam dan berminyak? Say no more!&nbsp;</p>
<p class=""p1"">Inovasi terbaru dari Wardah, kini hadir foam pencerah yang bersihkan wajah dari kotoran dan debu secara menyeluruh sekaligus angkat minyak berlebih untuk kulit cerah bebas kilap.</p>
<p class=""p1"">Perfect Bright Creamy Foam Bright + Oil Control, bersihkan hingga ke pori, bebas kilap, bye bye minyak!</p>
<p class=""p1"">Keunggulan:</p>
<ol>
<li class=""p1"">Hypoallergenic</li>
<li class=""p1"">Dermatologically Tested</li>
<li class=""p1"">Non-comedogenic &amp; Non-Acnegenic</li>
<li class=""p1"">0% Alkohol</li>
<li class=""p1"">For Normal to Oily Skin</li>
</ol>","<ol>
<li class=""p1"">Basahi dengan air dan busakan di wajah</li>
<li class=""p1"">Pijat lembut dan bilas hingga bersih</li>
<li class=""p1"">Hindari daerah mata</li>
<li class=""p1"">Untuk hasil optimal, gunakan bersamaan dengan rangkaian Perfect Bright lainnya</li>
</ol>","<p class=""p1""><strong>4X^ Bright Berries</strong>: Kombinasi 4 macam berry (Cranberry, Acai Berry, Goji Berry, &amp; Amethyst Berry) dengan kandungan Vit B3, Vit C, dan Vit E yang formulanya bantu mencerahkan, menutrisi, serta bantu meratakan warna kulit bekas jerawat.</p>
<p class=""p1""><strong>Kaolin Clay</strong>: Mengangkat sebum dan minyak berlebih sehingga meminimalkan tersumbatnya pori kulit yang mengakibatkan komedo.</p>
<p class=""p1""><strong>Double Sebum Reducer</strong>: 2x kontrol kadar minyak, kulit bebas kilap seharian</p>
<p><strong>Moisturizing Olive Oil</strong>: Kulit halus, bersih, tanpa rasa ketarik!</p>",thumbnail-1668569110.png,Perfect Bright Creamy Foam Bright + Oil Control,20700,1,1,1,1,2019-10-15 20:30:47,2019-10-15 13:30:47,65,54000,54.000,https://www.wardahbeauty.com/id/product/skincare/perfect-bright-creamy-foam-bright-oil-control?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1668569110.png,8993137698719,Combination,moisturizer,0-49999
117,2,Nature Daily Witch Hazel Purifying Moisturizer Gel,wardah-nature-daily-witch-hazel-purifying-moisturizer-gel,"<p>Gel pelembab bertekstur ringan untuk menjaga keseimbangan dan kelembaban kulit normal-berminyak. Mengandung Chamomile extract, Pro-vitamin B5 dan Vitamin E yang baik merawat keseharian kulit.</p>",<p>Oleskankan tipis secara merata pada kulit wajah dan leher yang telah dibersihkan</p>,<p>100 ml</p>,thumbnail-1571218328.png,Nature Daily Witch Hazel Purifying Moisturizer Gel,27500,0,0,0,1,2019-10-16 16:32:08,2019-10-16 09:32:08,145,117000,117.000,https://www.wardahbeauty.com/id/product/skincare/wardah-nature-daily-witch-hazel-purifying-moisturizer-gel?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1571218328.png,8993137695114,Combination,moisturizer,0-49999
279,2,UV Shield Active Protection Serum SPF 50 PA++++,wardah-uv-shield-active-protection-serum-spf-50-pa,"<p>Wardah UV Shield Active Protection Serum SPF 50 PA++++, sunscreen dengan Broad Spectrum Protection, 50x lebih optimal* menjaga kulit dari sinar UV A / UV B serta pancaran blue light berlebih. Dengan inovasi formula 0% alkohol namun tetap ringan dan tidak lengket, serta Waterproof Active di dalamnya yang menjadikan sunscreen tidak mudah luntur meski terkena air dan keringat. Sangat cocok digunakan untuk aktivitas dinamis di bawah paparan sinar matahari, seperti olahraga lari, berenang, berjemur di pantai, dll.</p>","<p>1. Ambil Wardah UV Shield Active Protection Serum SPF 50 secukupnya</p>
<p>2. Oles tipis di area wajah dan leher secara merata</p>
<p>3. Gunakan setiap hari sesudah menggunakan day cream</p>
<p>4. Bisa digunakan untuk area kulit lainnya yang terpapar sinar matahari</p>
<p>5. Cocok untuk kamu yang memiliki aktivitas&nbsp;dinamis yang memungkinkan terkena air atau banyak berkeringat</p>","<ul>
<li>0% Alcohol</li>
<li>Broad Spectrum Protection</li>
<li>Waterproof Active Formula</li>
<li>Bisabolol</li>
</ul>
<p>Ingredients:</p>
<p>Aqua, Dibutyl Adipate, C12-15 Alkyl Benzoate, Propylheptyl Caprylate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Tris-Biphenyl Triazine, Sucrose Polystearate, Ethylhexyl Triazone, Ethylhexyl Salicylate, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Glycerin, Polyester-7, Polymethyl Methacrylate, Neopentyl Glycol Diheptanoate, Undecane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cetearyl Alcohol, Decyl Glucoside, Disodium, Cetearyl Sulfosuccinate, Cetyl Palmitate, Tridecane, Bisabolol, Phenoxyethanol, Chlorphenesin, Xanthan Gum, Propanediol, Disodium EDTA, Fragrance, Butylene Glycol, Disodium Phosphate, Propylene Glycol, Artemisia Capillaris Flower Extract.</p>",thumbnail-1648122826.png,UV Shield Active Protection Serum SPF 50 PA++++,79000,0,0,0,1,2021-03-23 15:06:08,2021-03-23 08:06:08,59,279000,279.000,https://www.wardahbeauty.com/id/product/skincare/wardah-uv-shield-active-protection-serum-spf-50-pa?ref=https://www.wardahbeauty.com/id/product/list/skincare?page=1,https://d2jlkn4m127vak.cloudfront.net/medias/products/thumbnail-1648122826.png,8993137708302,Combination,moisturizer,50000-200000
